name,type,span,height_diff,span_type,angle,Horizontal,Vertical 50,Vert -18,Weights,WeightsSW
44,R5,309.62,-20.7,BA350,  ,382.31,427.4,445.95,,
45,T5+8.00,360.38,3.78,BA350,4.3626,335,225.61,180.39,,
46,G5,240,-0.65,BA350,  ,300.19,318.87,326.6,,
47,R5+18.00,435,64.75,BA350,  ,337.5,124.16,35.69,,
48,RE5+8.00,445,3.95,BA350,  ,440,636.96,718.65,,
49,R5+8.00,405,59.16,BA350,  ,425,231.81,151.76,,
50,R5+8.00,375,71.72,BA350,  ,390,326.92,300.87,,
51,RE5,232.08,-7.95,BA350,  ,303.54,620.88,752.2,,
52,T5+8.00,407.92,-47.56,BA350,4.8851,320,435.87,483.97,,
53,R5+8.00,380,29.06,BA350,  ,393.96,121.53,8.67,,
54,R5,470,69.49,BA350,  ,425,325.07,283.46,,
55,R5+8.00,285,74.9,BA350,  ,377.5,217.56,151.91,,
56,R5+18.00,205,52.69,BA350,  ,245,252.62,255.97,,
57,ZE5,200,-37.33,BA350,  ,202.5,825.69,1082.81,,
58,R5+18.00,440,-78.4,BA350,  ,320,307.43,302.8,,
59,RE5,230,-70.75,BA350,  ,335,513.76,587.03,,
60,G5+8.00,382.96,-91.3,BA350,  ,306.48,211.31,172.49,,
61,T5+8.00,388.86,-41.77,term,19.706,385.91,203.52,128.01,back: 300,back: 75
62,T5+18.00,310,-25.19,BA350,20.5237,349.43,312.75,297.46,,
63,R5+18.00,388.4,-37.88,BA350,3.1788,349.2,371.97,381.49,,
64,G5+8.00,259.02,-15.12,BA350,1.4109,323.71,268.67,245.77,,
65,Z5,415.98,19.61,BA350,33.2587,337.5,188.34,126.63,,
66,R5+8.00,420,60.59,BA350,  ,417.99,281.43,224.82,,
67,RE5,300,18.74,BA350,  ,360,474.78,522.47,,
68,R5+18.00,353.75,5.48,BA350,  ,326.88,393.3,420.74,,
69,Z5+8.00,456.25,25.59,BA500,33.0979,405,347.78,324.01,,
70,RE5,600.18,-0.42,BA500,  ,528.22,608.34,641.59,,
71,T5,229.82,3.52,BA350,17.3839,415,392.34,382.98,,
72,R5+8.00,370,38.5,BA350,  ,299.91,174.72,122.87,,
73,R5+8.00,300,15,BA350,  ,335,411.11,442.66,,
74,R5,273.44,-21.59,BA350,  ,286.72,469.14,544.50,,
75,ZE5,365.00,-103.92,term,32.8973,319.22,606.95,740.26,,
76,Z5+8.00,325.00,-46.07,term,38.0905,345.00,145.53,48.76,back:950,back:250
77,Z5,310.00,-6.42,term,39.8207,317.50,146.89,76.34,,
78,Z5+8.00*,100.00,-11.30,1000,92.3408,205.00,215.50,203.38,,
